PAVE	SO	MAF
upstream_gene_variant	upstream_gene_variant	5'Flank
intron_variant	intron_variant	Intron
5_prime_UTR_variant	5_prime_UTR_variant	5'UTR
3_prime_UTR_variant	3_prime_UTR_variant	3'UTR
non_coding_transcript_exon_variant	non_coding_transcript_exon_variant	RNA
synonymous_variant	synonymous_variant	Silent
phased_synonymous	synonymous_variant	Silent
missense_variant	missense_variant	Missense_Mutation
inframe_insertion	inframe_insertion	In_Frame_Ins
inframe_deletion	inframe_deletion	In_Frame_Del
phased_inframe_insertion	inframe_insertion	In_Frame_Ins
phased_inframe_deletion	inframe_deletion	In_Frame_Del
phased_missense	missense_variant	Missense_Mutation
stop_gained	stop_gained	Nonsense_Mutation
frameshift_variant	frameshift_variant	
start_lost	start_lost	Translation_Start_Site
stop_lost	stop_lost	Nonstop_Mutation
splice_donor_variant	splice_donor_variant	Splice_Site
splice_acceptor_variant	splice_acceptor_variant	Splice_Site
