Terms	CodingEffect	SO	MAF	Palette	EffectPriority
upstream_gene_variant	NONE	upstream_gene_variant	5'Flank	#FDBF6F	16
intron_variant	NONE	intron_variant	Intron	#FDBF6F	14
5_prime_UTR_variant	NONE	5_prime_UTR_variant	5'UTR	#FDBF6F	12
3_prime_UTR_variant	NONE	3_prime_UTR_variant	3'UTR	#FDBF6F	12
non_coding_transcript_exon_variant	NONE	non_coding_transcript_exon_variant	RNA	#FDBF6F	13
synonymous_variant	SYNONYMOUS	synonymous_variant	Silent	#FDBF6F	9
phased_synonymous	SYNONYMOUS	synonymous_variant	Silent	#FDBF6F	9
missense_variant	MISSENSE	missense_variant	Missense_Mutation	#1F78B4	6
inframe_insertion	MISSENSE	inframe_insertion	In_Frame_Ins	#CAB2D6	5
inframe_deletion	MISSENSE	inframe_deletion	In_Frame_Del	#6A3D9A	5
phased_inframe_insertion	MISSENSE	inframe_insertion	In_Frame_Ins	#CAB2D6	5
phased_inframe_deletion	MISSENSE	inframe_deletion	In_Frame_Del	#6A3D9A	5
phased_missense	MISSENSE	missense_variant	Missense_Mutation	#1F78B4	6
stop_gained	NONSENSE_OR_FRAMESHIFT	stop_gained	Nonsense_Mutation	#FB9A99	3
frameshift_variant	NONSENSE_OR_FRAMESHIFT	frameshift_variant	NA	#E31A1C	3
start_lost	NONSENSE_OR_FRAMESHIFT	start_lost	Translation_Start_Site	#B15928	4
stop_lost	NONSENSE_OR_FRAMESHIFT	stop_lost	Nonstop_Mutation	#A6CEE3	3
splice_donor_variant	SPLICE	splice_donor_variant	Splice_Site	#33A02C	2
splice_acceptor_variant	SPLICE	splice_acceptor_variant	Splice_Site	#33A02C	2
