SO	MAF	Genic	Coding
transcript_ablation	Splice_Site	intragenic	noncoding
splice_acceptor_variant	Splice_Site	intragenic	noncoding
splice_donor_variant	Splice_Site	intragenic	noncoding
exon_loss_variant	Splice_Site	intragenic	noncoding
stop_gained	Nonsense_Mutation	intragenic	coding
stop_lost	Nonstop_Mutation	intragenic	coding
start_lost	Translation_Start_Site	intragenic	coding
initiator_codon_variant	Translation_Start_Site	intragenic	coding
transcript_amplification	Intron	intragenic	coding
inframe_insertion	In_Frame_Ins	intragenic	coding
inframe_deletion	In_Frame_Del	intragenic	coding
missense_variant	Missense_Mutation	intragenic	coding
splice_region_variant	Splice_Region	intragenic	noncoding
splice_donor_5th_base_variant	Splice_Region	intragenic	noncoding
splice_donor_region_variant	Splice_Region	intragenic	noncoding
splice_polypyrimidine_tract_variant	Splice_Region	intragenic	noncoding
incomplete_terminal_codon_variant	Silent	intragenic	coding
start_retained_variant	Silent	intragenic	coding
stop_retained_variant	Silent	intragenic	coding
synonymous_variant	Silent	intragenic	coding
coding_sequence_variant	Missense_Mutation	intragenic	coding
conservative_missense_variant	Missense_Mutation	intragenic	coding
rare_amino_acid_variant	Missense_Mutation	intragenic	coding
INTRAGENIC	Intron	intragenic	noncoding
intragenic_variant	Intron	intragenic	noncoding
mature_miRNA_variant	RNA	intragenic	noncoding
5_prime_UTR_variant	5'UTR	intragenic	noncoding
3_prime_UTR_variant	3'UTR	intragenic	noncoding
non_coding_transcript_exon_variant	RNA	intragenic	noncoding
intron_variant	Intron	intragenic	noncoding
NMD_transcript_variant	Silent	intragenic	noncoding
non_coding_transcript_variant	RNA	intragenic	noncoding
upstream_gene_variant	5'Flank	intergenic	noncoding
downstream_gene_variant	3'Flank	intergenic	noncoding
TFBS_ablation	Targeted_Region	intergenic	noncoding
TFBS_amplification	Targeted_Region	intergenic	noncoding
TF_binding_site_variant	IGR	intergenic	noncoding
regulatory_region_ablation	Targeted_Region	intergenic	noncoding
regulatory_region_amplification	Targeted_Region	intergenic	noncoding
feature_elongation	Targeted_Region	intragenic	coding
regulatory_region_variant	IGR	intergenic	noncoding
feature_truncation	Targeted_Region	intragenic	coding
intergenic_variant	IGR	intergenic	noncoding
exon_variant	RNA	intragenic	coding
non_coding_exon_variant	RNA	intragenic	noncoding
nc_transcript_variant	RNA	intragenic	noncoding
5_prime_UTR_premature_start_codon_gain_variant	5'UTR	intragenic	noncoding
regulatory_region	IGR	intergenic	noncoding
intergenic_region	IGR	intergenic	noncoding
protein_altering_variant		intragenic	coding
frameshift_variant		intragenic	coding
